,permco,gvkey,companyid,score,preferred,duplicate
263,15377,064542,18147.0,1.0,1.0,0.0
264,15401,064515,6184.0,2.0,1.0,0.0
265,15507,064857,3218.0,1.0,1.0,0.0
266,15560,065011,14719.0,1.0,1.0,0.0
267,15576,065033,3419419.0,10.0,1.0,0.0
268,15580,031418,25600.0,3.0,1.0,0.0
269,15587,064182,3190.0,6.0,1.0,0.0
270,15614,064626,29830.0,1.0,1.0,0.0
271,15638,182309,15329.0,1.0,1.0,0.0
272,15652,065280,16547.0,6.0,1.0,0.0
273,15665,065317,17793.0,1.0,1.0,0.0
274,15686,065376,2797224.0,2.0,1.0,0.0
275,15689,065404,32234.0,6.0,1.0,0.0
276,15738,065578,7903.0,1.0,1.0,0.0
277,15744,192856,31328.0,1.0,1.0,0.0
278,15782,065703,7467.0,3.0,1.0,0.0
279,15802,065944,9034.0,1.0,1.0,0.0
280,15832,065872,25188.0,1.0,1.0,0.0
281,15844,065893,13022.0,1.0,1.0,1.0
282,15844,065893,1636098.0,6.0,0.0,1.0
283,15849,065905,4317.0,1.0,1.0,0.0
284,15860,065930,16361.0,3.0,1.0,1.0
285,15860,065930,1658022.0,6.0,0.0,1.0
286,15891,022507,8064.0,1.0,1.0,0.0
287,15900,066073,23629.0,6.0,1.0,0.0
288,15905,021136,1764.0,1.0,1.0,0.0
289,15908,163087,19318.0,3.0,1.0,0.0
290,15979,066496,22725.0,1.0,1.0,0.0
291,16017,066698,8430.0,1.0,1.0,0.0
292,16049,109425,21488.0,1.0,1.0,0.0
293,16085,061276,13472.0,3.0,1.0,0.0
294,16091,066726,736205.0,6.0,1.0,0.0
295,16148,111492,650050.0,1.0,1.0,0.0
296,16179,112033,17934.0,1.0,1.0,0.0
297,16195,112178,472.0,1.0,1.0,0.0
298,16224,112720,21645.0,1.0,1.0,0.0
299,16262,113533,24114.0,1.0,1.0,0.0
300,16357,026809,2558075.0,1.0,1.0,0.0
301,16397,118081,1285.0,1.0,1.0,0.0
302,16415,112968,19581.0,1.0,1.0,0.0
303,16425,118577,16904.0,1.0,1.0,0.0
304,16494,120051,15674.0,3.0,1.0,0.0
305,16587,121440,32166.0,1.0,1.0,0.0
306,16619,121819,32401.0,6.0,1.0,0.0
307,16668,122257,4354.0,1.0,1.0,0.0
308,16691,122315,4384.0,3.0,1.0,0.0
309,17524,127481,19887.0,1.0,1.0,0.0
310,17922,108846,1070052.0,10.0,1.0,0.0
311,17936,129466,2278.0,1.0,1.0,0.0
312,17989,128098,17162.0,5.0,1.0,0.0
313,18442,106501,12252.0,3.0,1.0,0.0
314,18443,013288,29084.0,1.0,1.0,0.0
315,18456,133246,16377.0,1.0,1.0,0.0
316,18698,133424,1524.0,2.0,1.0,0.0
317,18700,133328,1104986.0,1.0,1.0,0.0
318,18709,133504,19270.0,1.0,1.0,0.0
319,20007,001034,1595.0,1.0,1.0,0.0
320,20086,001478,1847.0,2.0,1.0,0.0
321,20276,002085,3680.0,3.0,1.0,0.0
322,20277,002086,3684.0,1.0,1.0,0.0
323,20331,002403,5118.0,1.0,1.0,0.0
324,20753,004843,12276.0,2.0,1.0,0.0
325,21018,006266,17478.0,1.0,1.0,0.0
326,21102,006730,18888.0,2.0,1.0,0.0
327,21188,007257,27219.0,1.0,1.0,0.0
328,21214,007536,24318.0,6.0,1.0,0.0
329,21274,007850,22836.0,1.0,1.0,0.0
330,21387,008488,2361.0,1.0,1.0,0.0
331,21394,008530,24296.0,1.0,1.0,0.0
332,21531,009236,3310339.0,10.0,1.0,0.0
333,21575,009459,27219.0,10.0,1.0,0.0
334,22092,015708,1426.0,1.0,1.0,0.0
335,29794,027906,26014.0,1.0,1.0,0.0
336,30033,029127,15783.0,1.0,1.0,0.0
337,30088,029992,30505.0,1.0,1.0,0.0
338,31389,061655,22589.0,1.0,1.0,0.0
339,31693,063246,19865.0,1.0,1.0,0.0
340,31732,063690,12242.0,5.0,1.0,0.0
341,31821,064162,8065.0,1.0,1.0,0.0
342,31920,184487,13581.0,3.0,1.0,0.0
343,31987,064708,33237.0,2.0,1.0,0.0
344,36760,106261,10424.0,3.0,1.0,0.0
345,36949,012713,584.0,6.0,0.0,1.0
346,36949,012713,2179515.0,1.0,1.0,1.0
347,37135,177606,605307.0,2.0,1.0,0.0
348,37144,161088,3307.0,1.0,1.0,0.0
349,37154,133885,11375.0,1.0,1.0,0.0
350,37167,133868,18767.0,1.0,1.0,0.0
351,37171,034709,22105.0,1.0,1.0,0.0
352,37183,134685,24899.0,1.0,1.0,0.0
353,37188,133871,27006.0,1.0,1.0,0.0
354,37191,133731,29972.0,1.0,1.0,0.0
355,37489,002990,6209.0,1.0,1.0,0.0
356,37505,063562,748009.0,1.0,1.0,0.0
357,37514,106589,13051.0,3.0,1.0,0.0
358,37534,134308,32750.0,1.0,1.0,0.0
359,37660,137131,6495.0,2.0,1.0,0.0
360,37700,061781,3285.0,3.0,1.0,0.0
361,37710,136884,9006.0,3.0,1.0,0.0
362,37726,136186,16157.0,1.0,1.0,0.0
363,37917,138122,2519.0,1.0,1.0,0.0
364,37929,175533,9355.0,3.0,1.0,0.0
